"waybill_code"|"create_time"|"id_status"|"courier_id"
JXPOP02057758|"20230722051217"|1|C002
JXPOP37054839|"20230729084618"|1|C008
JXEC79286161|"20230701145122"|1|C003
JXFD00246154|"20230724195746"|2|C007
JXPOP24448841|"20230704030653"|1|C008
JXPOP82932175|"20230717100452"|3|C008
JXEC61686902|"20230711054407"|1|C010
JXFD67009092|"20230722093111"|4|C003
JXEC81537504|"20230703034541"|3|C008
JXFD25145604|"20230702142724"|3|C006
JXEC88050555|"20230724181331"|3|C005
JXEC88015195|"20230714052830"|5|C005
JXFD19211135|"20230722201408"|3|C002
JXEC50138199|"20230729100504"|3|C003
JXPOP32804156|"20230725011319"|3|C007
JXEC01659914|"20230711211643"|4|C002
JXEC97489209|"20230715143747"|5|C005
JXPOP16457397|"20230708000727"|2|C010
JXPOP80652732|"20230725134055"|2|C008
JXEC20297993|"20230707230731"|2|C006
JXEC80190941|"20230723065506"|3|C001
JXFD89834951|"20230701210601"|5|C005
JXPOP41636083|"20230726201137"|4|C010
JXEC83527047|"20230720153821"|5|C003
JXEC73904646|"20230725104136"|3|C002
JXEC07857595|"20230725094936"|3|C002
JXFD76696738|"20230714084637"|2|C007
JXPOP68084303|"20230722074857"|2|C003
JXFD40718050|"20230725122850"|3|C009
JXEC25304352|"20230721152636"|4|C004
JXFD82351148|"20230703224141"|1|C004
JXPOP87047461|"20230720005731"|4|C001
JXEC75430578|"20230709205313"|4|C008
JXFD74508399|"20230706120552"|5|C006
JXEC90348990|"20230728175412"|2|C007
JXEC23050794|"20230705030849"|2|C002
JXEC19632208|"20230720090959"|5|C005
JXPOP37004534|"20230717155054"|5|C002
JXFD46329373|"20230717211804"|4|C005
JXPOP32993523|"20230702135629"|3|C003
JXFD04112980|"20230713175013"|5|C001
JXEC48317158|"20230721081757"|3|C002
JXPOP80091886|"20230713222023"|2|C004
JXEC98622659|"20230723142927"|1|C008
JXFD34686553|"20230715185813"|5|C004
JXFD03038193|"20230720113326"|3|C007
JXFD73545189|"20230705174648"|3|C010
JXFD15083919|"20230717171435"|3|C009
JXPOP38993537|"20230724110404"|3|C008
JXEC91818830|"20230722150608"|3|C005
JXPOP22558381|"20230730033038"|1|C002
JXFD12550851|"20230708141630"|4|C002
JXPOP61274152|"20230705232145"|3|C008
JXEC74887289|"20230724210219"|4|C002
JXEC00967054|"20230701125759"|2|C003
JXPOP55840453|"20230716053522"|5|C004
JXEC22064264|"20230729181058"|3|C001
JXPOP10920806|"20230721045845"|1|C001
JXFD75178205|"20230723230823"|5|C004
JXEC18790433|"20230730224142"|2|C004
JXFD15686937|"20230728182610"|2|C003
JXPOP27641270|"20230709192251"|4|C009
JXEC16882017|"20230716131257"|3|C008
JXPOP09483516|"20230730201316"|5|C006
JXEC77857465|"20230731181925"|5|C010
JXFD30700327|"20230724023422"|1|C007
JXPOP83066492|"20230702121957"|2|C002
JXFD81570932|"20230707095645"|3|C008
JXPOP95377297|"20230725035732"|4|C001
JXEC21285904|"20230703080046"|4|C001
JXPOP49151145|"20230731021819"|3|C007
JXPOP35039133|"20230730014457"|4|C005
JXEC21612014|"20230706213510"|3|C002
JXEC94587180|"20230730134313"|4|C009
JXPOP90036083|"20230717215339"|1|C004
JXPOP15566606|"20230703044752"|5|C002
JXEC77973902|"20230703093903"|2|C001
JXFD71545034|"20230731223427"|1|C006
JXPOP54002338|"20230709103106"|5|C002
JXPOP91603335|"20230727193935"|1|C004
JXFD07607383|"20230723161711"|4|C006
JXEC99595096|"20230726004252"|3|C007
JXFD64291396|"20230712065407"|1|C006
JXEC42823787|"20230728001432"|2|C001
JXPOP32869003|"20230704090652"|5|C001
JXEC04420348|"20230710024224"|4|C002
JXFD76951624|"20230720120858"|4|C005
JXPOP37490431|"20230727183737"|5|C009
JXEC05953085|"20230704152723"|1|C007
JXPOP98638230|"20230721052858"|3|C005
JXPOP95763109|"20230728134307"|2|C003
JXFD43794762|"20230717202752"|5|C005
JXEC22690822|"20230720214439"|1|C006
JXFD06164418|"20230701113201"|2|C002
JXFD56894352|"20230726020123"|2|C006
JXEC86596939|"20230709131153"|4|C002
JXFD08296675|"20230722150849"|1|C003
JXPOP14456036|"20230727113324"|1|C006
JXFD80647949|"20230708000210"|5|C010
JXPOP98635771|"20230701171111"|2|C005
JXFD58795488|"20230730072607"|2|C009
JXPOP61206711|"20230724163315"|4|C005
JXPOP46865779|"20230726030004"|3|C004
JXEC02840909|"20230714151241"|5|C004
JXFD43820919|"20230724030653"|3|C008
JXPOP37035249|"20230714035836"|3|C003
JXEC22526244|"20230722024235"|3|C003
JXPOP49188559|"20230722180823"|1|C004
JXEC73044035|"20230723150908"|5|C001
JXFD61054179|"20230705162828"|4|C002
JXEC28697196|"20230727163006"|2|C010
JXPOP70090983|"20230713192258"|4|C002
JXFD89873641|"20230712181904"|3|C006
JXFD00865952|"20230711111936"|2|C005
JXPOP63016955|"20230708044356"|5|C004
JXFD74773276|"20230727045856"|4|C002
JXFD24798489|"20230729075232"|4|C005
JXEC11823023|"20230725111402"|2|C006
JXFD18035287|"20230705032043"|5|C003
JXEC83580062|"20230726070200"|2|C010
JXEC07456222|"20230722073510"|2|C006
JXFD08986996|"20230721163732"|4|C008
JXPOP22549565|"20230722080956"|4|C007
JXFD15404928|"20230731162331"|2|C009
JXPOP80574142|"20230706164146"|5|C004
JXEC29619828|"20230709073652"|1|C001
JXPOP74708120|"20230705204907"|5|C009
JXFD69464922|"20230723192752"|5|C001
JXFD33703766|"20230716125003"|5|C002
JXFD26410999|"20230703005519"|3|C001
JXPOP07503688|"20230711042748"|2|C002
JXEC20383847|"20230704032451"|2|C004
JXFD25044226|"20230717121112"|3|C010
JXEC73386343|"20230727185337"|3|C007
JXPOP09276676|"20230726174717"|5|C003
JXFD43885654|"20230707071913"|3|C001
JXPOP32902517|"20230718135435"|1|C006
JXFD25516498|"20230719074304"|5|C003
JXFD44503725|"20230720233304"|3|C006
JXPOP62147836|"20230727043659"|3|C010
JXFD24962204|"20230715192550"|4|C007
JXEC61065163|"20230713185648"|4|C008
JXPOP08366698|"20230703115133"|2|C006
JXEC28651410|"20230708174852"|3|C008
JXFD86805429|"20230731221503"|5|C001
JXPOP78660926|"20230707180952"|3|C003
JXEC57417764|"20230718020347"|5|C002
JXFD19743797|"20230719065933"|5|C001
JXEC54673794|"20230725235339"|5|C010
JXEC53629040|"20230707035703"|1|C001
JXPOP70421295|"20230704173251"|2|C001
JXPOP60590240|"20230712232815"|3|C007
JXFD74013479|"20230730175857"|1|C005
JXPOP30307822|"20230706053250"|5|C003
JXEC99732663|"20230713231352"|1|C007
JXEC28563218|"20230708175615"|2|C006
JXFD57242629|"20230706125150"|3|C007
JXFD65273446|"20230709204027"|5|C006
JXFD14348430|"20230721180503"|5|C002
JXFD72518859|"20230725141721"|3|C006
JXPOP00437834|"20230701203154"|4|C001
JXPOP96482265|"20230703154441"|3|C002
JXPOP47750193|"20230710164933"|4|C006
JXPOP37490117|"20230708081440"|5|C005
JXFD38951658|"20230729050005"|1|C001
JXFD20104508|"20230730015003"|4|C003
JXPOP79275882|"20230705042900"|5|C003
JXPOP54854202|"20230705092626"|3|C010
JXFD81417198|"20230727181326"|3|C008
JXFD79991245|"20230727122853"|4|C008
JXPOP75128235|"20230712020351"|4|C003
JXEC24654154|"20230702231000"|5|C007
JXPOP83456788|"20230709005516"|3|C003
JXFD71048208|"20230728233207"|2|C004
JXEC33583853|"20230709172123"|3|C001
JXPOP04496973|"20230731041910"|1|C003
JXPOP68250084|"20230703022020"|2|C007
JXFD52211486|"20230718120424"|1|C010
JXEC45080106|"20230706233933"|1|C007
JXEC76586142|"20230715004712"|1|C002
JXFD40523079|"20230723073145"|4|C007
JXPOP81549854|"20230728205717"|5|C005
JXEC90266898|"20230710152217"|1|C003
JXPOP93055300|"20230705111229"|4|C004
JXEC95711241|"20230728112443"|5|C007
JXPOP47445572|"20230707013638"|2|C006
JXPOP83589117|"20230725144933"|4|C002
JXFD52824623|"20230727101517"|5|C009
JXPOP44636949|"20230727000827"|4|C003
JXEC94193118|"20230716174410"|5|C009
JXPOP45730241|"20230717212027"|5|C006
JXPOP43715144|"20230731064147"|5|C008
JXPOP21844388|"20230723220211"|2|C006
JXEC19229876|"20230724152719"|3|C009
JXPOP29787490|"20230725102542"|4|C004
JXPOP05207902|"20230717155022"|1|C009
JXPOP97787471|"20230709015223"|4|C003
JXPOP98202592|"20230704031911"|4|C005
JXFD53849044|"20230713160650"|3|C002
JXFD45296292|"20230714121605"|1|C001
JXFD24889769|"20230731033000"|2|C002
JXEC38692651|"20230721064847"|4|C008
JXFD59310425|"20230720152531"|4|C005
JXEC64310102|"20230703160000"|3|C004
JXPOP28880337|"20230727195302"|1|C009
JXEC95031813|"20230713074627"|5|C009
JXFD49507398|"20230724190908"|2|C003
JXFD04460851|"20230729115230"|1|C009
JXEC35676143|"20230716011256"|4|C005
JXPOP24567777|"20230722225601"|3|C002
JXEC67162349|"20230717054947"|3|C006
JXEC47110455|"20230725112027"|3|C008
JXEC45289476|"20230719183346"|2|C003
JXEC77318774|"20230705061328"|3|C003
JXEC58179163|"20230726170315"|3|C002
JXEC27341980|"20230721171230"|4|C010
JXFD97597284|"20230701141530"|2|C009
JXFD48153693|"20230708114701"|1|C003
JXFD05200280|"20230707103025"|5|C002
JXFD40353593|"20230712120658"|2|C006
JXEC83750035|"20230703055511"|4|C010
JXPOP89455999|"20230704201810"|2|C009
JXFD69670528|"20230710214447"|5|C003
JXEC47403595|"20230711041808"|5|C008
JXPOP92248273|"20230722014349"|1|C005
JXFD73169636|"20230718144508"|5|C008
JXFD65176991|"20230707195641"|5|C001
JXEC67164872|"20230702053151"|5|C001
JXFD35450459|"20230725070356"|2|C008
JXEC12826604|"20230720150759"|2|C008
JXFD48167138|"20230725204513"|5|C009
JXFD18638330|"20230716051558"|4|C006
JXEC44681037|"20230710121437"|1|C008
JXEC19470053|"20230726151607"|1|C003
JXEC68343814|"20230702193212"|2|C002
JXPOP99418252|"20230705081826"|3|C005
JXFD09981729|"20230716083932"|1|C003
JXPOP87774835|"20230703172212"|1|C006
JXEC64263770|"20230708045523"|1|C001
JXEC56797490|"20230718172743"|2|C004
JXEC54409274|"20230721070945"|1|C005
JXFD70254856|"20230720133447"|2|C009
JXEC96553058|"20230718133724"|4|C008
JXPOP46331871|"20230712183648"|2|C006
JXFD68919487|"20230725083212"|1|C005
JXEC42158783|"20230720001049"|2|C004
JXEC73489143|"20230702191135"|2|C004
JXPOP82019396|"20230714110753"|3|C010
JXPOP36653183|"20230712053505"|2|C007
JXFD32458765|"20230721064149"|4|C010
JXPOP94810307|"20230721021517"|1|C009
JXFD33653998|"20230705082324"|4|C006
JXPOP57093362|"20230730172221"|5|C001
JXFD59852629|"20230707235631"|1|C005
JXFD86327669|"20230725095756"|2|C008
JXEC10196571|"20230729185822"|4|C007
JXFD94307712|"20230712164500"|3|C006
JXPOP01133795|"20230717034329"|1|C008
JXPOP67233026|"20230716055730"|2|C002
JXPOP87275457|"20230708012558"|3|C007
JXEC78584457|"20230725184530"|3|C007
JXPOP81364567|"20230704024003"|5|C010
JXPOP39046270|"20230712225558"|3|C004
JXFD23501401|"20230727091035"|4|C002
JXEC66924559|"20230731020652"|3|C010
JXPOP61347861|"20230706044740"|2|C006
JXPOP76285093|"20230710034944"|4|C010
JXPOP82782913|"20230707201817"|1|C002
JXEC85184882|"20230722131829"|5|C001
JXFD28159223|"20230729042155"|4|C006
JXFD22340863|"20230711191415"|1|C009
JXFD58732531|"20230706214131"|1|C008
JXPOP60501282|"20230702063011"|1|C009
JXFD20920618|"20230708042055"|3|C010
JXEC81699905|"20230702153151"|3|C007
JXEC43493234|"20230710082825"|3|C006
JXFD39851973|"20230709194310"|1|C003
JXEC31004217|"20230705232248"|4|C004
JXEC39996250|"20230714164300"|1|C003
JXFD27045355|"20230704181407"|5|C003
JXPOP11092547|"20230705104010"|2|C007
JXFD23675151|"20230728072855"|3|C008
JXEC99878568|"20230728063729"|1|C007
JXEC90964283|"20230719170455"|5|C004
JXPOP38064306|"20230722204930"|2|C006
JXFD91266868|"20230709172432"|4|C002
JXFD35456579|"20230712172512"|4|C008
JXPOP07951686|"20230715182746"|2|C001
JXFD62466454|"20230721090801"|4|C002
JXPOP29559485|"20230711103240"|5|C006
JXEC98141463|"20230719095211"|4|C002
JXPOP10068062|"20230723032502"|1|C006
JXPOP98211507|"20230730041505"|5|C006
JXEC93821147|"20230731135408"|2|C002
JXEC20202451|"20230727024415"|5|C002
JXEC39280831|"20230709122128"|2|C004
JXEC91860596|"20230724092438"|1|C004
JXEC54941087|"20230708063746"|5|C006
JXPOP42923857|"20230709075459"|2|C001
JXEC82805894|"20230706181228"|5|C003
JXPOP26976428|"20230722234138"|3|C008
JXFD29216296|"20230705091254"|5|C007
JXPOP45606470|"20230717221134"|5|C007
JXPOP74845234|"20230724035120"|1|C001
JXPOP68533268|"20230709081623"|5|C006
JXFD99196707|"20230711110825"|3|C008
JXFD04641057|"20230704084820"|4|C002
JXEC08660322|"20230730174049"|2|C007
JXFD48444061|"20230729105310"|5|C007
JXPOP93770993|"20230729163404"|3|C005
JXPOP16791766|"20230722040939"|3|C009
JXEC51502711|"20230709205909"|5|C009
JXPOP22347582|"20230729073718"|5|C006
JXPOP81491000|"20230707081835"|4|C007
JXEC39220133|"20230705043751"|1|C010
JXPOP70863663|"20230722192207"|4|C002
JXEC90747088|"20230713131203"|2|C003
JXPOP85854162|"20230712010446"|4|C002
JXPOP59697082|"20230702134736"|2|C007
JXFD22305495|"20230717075341"|1|C003
JXPOP17434313|"20230720054830"|4|C007
JXEC50483109|"20230708123356"|3|C005
JXPOP69568113|"20230731005513"|2|C008
JXFD52432623|"20230701023925"|3|C009
JXEC52744911|"20230701040329"|5|C010
JXFD69842412|"20230708190154"|3|C004
JXFD20911833|"20230704013649"|4|C006
JXFD12389613|"20230721065733"|4|C006
JXPOP64442333|"20230702190657"|5|C010
JXFD77604726|"20230701065045"|2|C004
JXFD61008180|"20230712091940"|2|C004
JXEC67719235|"20230715003824"|3|C007
JXPOP62249999|"20230712114722"|5|C003
JXEC18637184|"20230726011237"|5|C006
JXEC36291572|"20230715062328"|5|C004
JXFD72974886|"20230707093257"|2|C001
JXEC11493166|"20230714113609"|2|C005
JXFD13304248|"20230726085013"|4|C007
JXFD50232551|"20230711190637"|3|C002
JXPOP70454157|"20230715071046"|5|C007
JXPOP00324962|"20230727170134"|3|C008
JXEC96152529|"20230706031525"|3|C001
JXPOP07258810|"20230714225128"|2|C002
JXPOP10017800|"20230709191618"|3|C007
JXEC66203062|"20230702135958"|3|C009
JXPOP28961941|"20230714091309"|5|C009
JXEC78508404|"20230719133124"|5|C006
JXPOP83987650|"20230727033406"|1|C009
JXFD23851659|"20230722220306"|5|C002
JXEC08859921|"20230707110048"|4|C009
JXPOP76798313|"20230703211052"|3|C006
JXFD03328466|"20230708175816"|1|C008
JXPOP54577762|"20230702150739"|1|C008
JXFD41579173|"20230713174740"|3|C006
JXPOP96944970|"20230717063512"|3|C006
JXEC69957834|"20230725101731"|2|C006
JXPOP28162036|"20230718121422"|4|C003
JXFD91293355|"20230716161400"|5|C006
JXFD03030450|"20230731215648"|4|C010
JXPOP63755061|"20230723215535"|4|C007
JXFD29366013|"20230713013537"|2|C005
JXPOP74163285|"20230712070842"|1|C002
JXFD91468785|"20230724231749"|3|C006
JXFD54039691|"20230703135632"|1|C006
JXEC51132365|"20230722234329"|2|C002
JXPOP51142527|"20230709152024"|5|C006
JXEC71465625|"20230718170600"|1|C005
JXPOP03551112|"20230703162508"|5|C008
JXFD70242764|"20230731125222"|3|C001
JXPOP76045272|"20230726212306"|3|C010
JXPOP14076137|"20230710085004"|4|C004
JXEC98120972|"20230714185441"|3|C004
JXPOP91617674|"20230715223208"|3|C008
JXFD18911058|"20230713182348"|5|C006
JXFD15801706|"20230706003106"|1|C009
JXFD00491440|"20230719021538"|2|C002
JXFD56958903|"20230725175206"|1|C003
JXPOP29253814|"20230717191125"|4|C008
JXFD23231530|"20230721100719"|2|C003
JXEC35661160|"20230714035552"|1|C002
JXEC22780097|"20230718091102"|2|C001
JXEC18910247|"20230713203104"|2|C008
JXEC41892737|"20230702200903"|4|C001
JXEC41486447|"20230728122932"|5|C001
JXEC34594329|"20230717021403"|5|C005
JXEC03555662|"20230709225609"|2|C004
JXPOP97918570|"20230723214736"|5|C010
JXFD26110518|"20230718200548"|2|C003
JXFD00833421|"20230719073002"|3|C002
JXEC67357486|"20230714005550"|1|C002
JXPOP31952136|"20230708153939"|2|C001
JXPOP01101453|"20230709024823"|3|C002
JXEC92124186|"20230718222901"|4|C009
JXFD68347330|"20230731054916"|4|C008
JXEC36567515|"20230721213158"|1|C001
JXEC80814491|"20230726223013"|2|C005
JXEC89805104|"20230701170931"|1|C007
JXFD37769542|"20230721165400"|2|C006
JXEC66324255|"20230729093950"|3|C001
JXPOP21251417|"20230709044609"|4|C004
JXEC99976226|"20230703202446"|5|C002
JXPOP88250141|"20230704125000"|4|C007
JXFD76386366|"20230706075037"|5|C004
JXEC57659761|"20230709020627"|3|C003
JXPOP69571689|"20230726185656"|2|C001
JXEC87290053|"20230729115459"|1|C002
JXFD65910110|"20230707155544"|2|C005
JXEC44902299|"20230716235056"|3|C006
JXFD74516060|"20230725120754"|5|C006
JXEC59072558|"20230708193532"|3|C005
JXFD36104023|"20230707211539"|2|C006
JXFD76828199|"20230726005510"|1|C005
JXEC09305556|"20230713205300"|1|C001
JXPOP31534987|"20230731144204"|2|C006
JXFD98275347|"20230714003118"|1|C007
JXEC12364422|"20230721012308"|3|C001
JXEC44582373|"20230703121205"|2|C002
JXFD83519637|"20230704221125"|3|C010
JXPOP54350891|"20230709122035"|4|C001
JXEC77345065|"20230725042853"|2|C002
JXEC06174522|"20230726150143"|3|C010
JXFD17992084|"20230718221028"|4|C001
JXPOP89702362|"20230722083450"|2|C005
JXFD63859780|"20230730081126"|4|C010
JXEC24367499|"20230719022941"|1|C010
JXPOP64124369|"20230726034438"|1|C003
JXPOP38722424|"20230706031326"|3|C008
JXFD66619623|"20230730195809"|1|C010
JXPOP76570561|"20230701121134"|5|C006
JXFD52761071|"20230712105255"|4|C010
JXEC47653300|"20230728133154"|1|C009
JXPOP26490923|"20230716045135"|1|C008
JXEC15692638|"20230719044436"|5|C001
JXFD96557538|"20230731124544"|3|C006
JXEC16672318|"20230710172537"|4|C005
JXFD72263718|"20230709022028"|5|C005
JXEC68559213|"20230702050203"|5|C010
JXEC97329154|"20230708003005"|1|C001
JXEC68238353|"20230727191243"|5|C008
JXPOP83294590|"20230731052936"|1|C008
JXEC56111266|"20230715163645"|3|C002
JXFD00738191|"20230721015210"|5|C008
JXEC80364297|"20230710195514"|1|C005
JXFD90560693|"20230711020932"|5|C010
JXFD64661295|"20230731091902"|4|C005
JXEC56276673|"20230707154528"|2|C006
JXFD01246210|"20230721115645"|1|C009
JXFD93988628|"20230706151210"|2|C003
JXEC77408492|"20230729003158"|1|C008
JXFD39715762|"20230718233153"|4|C001
JXEC93045546|"20230718170019"|3|C008
JXEC37746525|"20230720215536"|1|C005
JXPOP88223889|"20230725193508"|2|C006
JXPOP57345329|"20230710194847"|3|C001
JXEC44892850|"20230729131204"|3|C002
JXPOP97074874|"20230706040352"|1|C002
JXPOP67617807|"20230723104941"|1|C004
JXFD00250230|"20230728233245"|2|C008
JXEC06799743|"20230728150554"|1|C007
JXFD35821700|"20230706233912"|1|C003
JXEC46162588|"20230712161818"|2|C002
JXEC05158589|"20230711221751"|4|C002
JXFD38842344|"20230701162820"|2|C004
JXPOP05312393|"20230729143249"|2|C008
JXPOP83512352|"20230724034605"|3|C003
JXPOP76715606|"20230725050950"|4|C007
JXEC34036106|"20230720121109"|5|C002
JXFD60975675|"20230716105927"|2|C001
JXFD10649225|"20230728075059"|4|C004
JXEC62769849|"20230719090033"|3|C008
JXFD03297692|"20230704173116"|2|C010
JXPOP16744471|"20230701202846"|5|C009
JXEC74899259|"20230716093342"|4|C010
JXFD14657316|"20230706034444"|3|C004
JXPOP20033710|"20230719085127"|3|C010
JXEC38829949|"20230709172425"|3|C005
JXFD93355258|"20230704070024"|3|C010
JXPOP14590489|"20230708164237"|1|C009
JXFD76076617|"20230727120901"|3|C005
JXEC84239307|"20230712113512"|3|C008
JXPOP03412869|"20230717072005"|2|C006
JXPOP90027988|"20230724011324"|2|C004
JXEC66254063|"20230730002340"|4|C005
JXFD11579013|"20230727114849"|2|C007
JXFD40418786|"20230709161215"|3|C002
JXPOP45501442|"20230708214835"|4|C003
JXEC19779244|"20230730065950"|4|C001
JXFD95627737|"20230730093639"|4|C004
JXEC97600967|"20230716211553"|4|C006
JXEC47626053|"20230701022703"|4|C009
JXFD36232345|"20230724124929"|3|C001
JXPOP21222153|"20230723115455"|4|C009
JXFD50035990|"20230710225244"|5|C009
JXEC72133626|"20230707040437"|5|C005
JXEC59185749|"20230715022501"|1|C008
JXFD91236952|"20230706175354"|4|C005
JXPOP03807318|"20230711011931"|1|C006
JXPOP74901995|"20230710031002"|1|C009
JXEC14791595|"20230720135156"|2|C003
JXFD48154807|"20230719055214"|4|C006
JXFD00646124|"20230704164821"|1|C004
JXEC85541498|"20230707195941"|1|C003
JXPOP78040620|"20230731084348"|1|C005
JXPOP27836133|"20230702090201"|3|C004
JXEC69561147|"20230721040444"|1|C007
JXPOP22117055|"20230727060432"|2|C001
JXEC12197348|"20230723221308"|2|C006
JXEC52790898|"20230715192411"|1|C007
JXEC16536385|"20230719095733"|1|C001
JXPOP16799874|"20230714144320"|5|C010
JXEC15697137|"20230720153322"|5|C001
JXFD70727618|"20230730010128"|1|C009
JXPOP82456018|"20230705050319"|4|C010
JXPOP58975716|"20230711094822"|3|C002
JXFD24521212|"20230707100917"|3|C007
JXEC05625086|"20230719221520"|4|C006
JXPOP18945760|"20230704053933"|3|C005
JXPOP12061880|"20230707122237"|5|C009
JXEC01793900|"20230721071805"|3|C004
JXEC65687262|"20230708184052"|5|C005
JXPOP40913232|"20230727012039"|1|C005
JXEC18617328|"20230705045933"|4|C007
JXPOP38646639|"20230701130110"|4|C004
JXEC81400795|"20230727202737"|3|C006
JXPOP53832248|"20230717230624"|3|C001
JXEC13903255|"20230724143047"|5|C008
JXPOP29209889|"20230709125034"|1|C001
JXPOP68268960|"20230727115248"|1|C003
JXEC73188010|"20230703152919"|1|C009
JXEC43340113|"20230721195338"|4|C001
JXFD35022785|"20230711192614"|4|C001
JXEC40923275|"20230703104424"|5|C007
JXPOP04275344|"20230720131651"|4|C009
JXEC89754937|"20230710125708"|4|C004
JXPOP16855576|"20230702122900"|2|C006
JXEC69816199|"20230703235357"|1|C006
JXPOP94321988|"20230715182135"|2|C006
JXEC13644784|"20230727222707"|4|C009
JXPOP37934359|"20230707201241"|5|C003
JXPOP17986482|"20230722020941"|3|C003
JXFD68824579|"20230702013656"|1|C005
JXPOP00632955|"20230704095049"|2|C001
JXEC97680812|"20230704124846"|4|C001
JXEC71828878|"20230721022307"|3|C005
JXEC89727646|"20230703031625"|1|C003
JXEC98855404|"20230701155751"|4|C005
JXFD18201458|"20230728184551"|3|C006
JXEC66964225|"20230721060911"|4|C003
JXFD49005185|"20230710060302"|3|C008
JXFD55210561|"20230707235312"|5|C004
JXEC01656123|"20230727171608"|3|C004
JXFD11636434|"20230715080657"|3|C009
JXFD10825885|"20230722094013"|5|C004
JXPOP55257987|"20230729120059"|4|C009
JXEC29891846|"20230707111804"|2|C002
JXPOP19710615|"20230715153604"|3|C003
JXFD56132846|"20230711020802"|5|C010
JXFD62320089|"20230712170854"|1|C008
JXEC01604542|"20230728220523"|1|C001
JXFD51940497|"20230720143653"|2|C004
JXPOP89870278|"20230718193844"|2|C010
JXFD68354216|"20230728004910"|2|C007
JXFD19533275|"20230714234401"|1|C006
JXFD37824185|"20230730024231"|1|C009
JXPOP93370309|"20230702174045"|2|C004
JXFD14052624|"20230730173517"|2|C004
JXEC86253203|"20230701224916"|2|C007
JXPOP40657626|"20230717114039"|5|C001
JXFD14939409|"20230723064813"|3|C005
JXEC89761050|"20230717051912"|4|C002
JXPOP46456509|"20230728071237"|3|C003
JXFD99468450|"20230718125047"|3|C009
JXFD14740551|"20230726182822"|2|C003
JXFD08027492|"20230721154753"|4|C010
JXPOP77040204|"20230711021439"|5|C002
JXFD74289326|"20230731152223"|2|C005
JXFD88972239|"20230710163520"|5|C008
JXFD20504605|"20230705010358"|2|C002
JXEC91474050|"20230716083146"|5|C006
JXEC72463374|"20230701052645"|5|C006
JXEC29548688|"20230711170835"|4|C006
