"waybill_code"|"create_time"|"id_warehouse"|"id_cat"|"id_payment_type"|"id_card"|"id_customer"|"weight"|"fee"|"province_code"|"city_code"|"district_code"
JXEC25304352|"20230719114945"|1|2|1||8|62|80401|34|3471|347104
JXFD82351148|"20230728172948"|5|4|1||19|15|26908|34|3471|347105
JXPOP87047461|"20230711124430"|2|4|3|1|19|36|32051|34|3475|347501
JXEC75430578|"20230711195500"|5|5|3|1|18|21|61586|34|3475|347502
JXFD74508399|"20230704025533"|1|3|1||20|63|73487|34|3475|347503
JXEC90348990|"20230703132211"|3|3|1||20|17|35153|34|3475|347504
JXEC23050794|"20230706095141"|4|5|3|1|1|75|74506|34|3475|347505
JXEC19632208|"20230703035923"|1|4|2|2|17|68|74247|36|3601|360101
JXPOP37004534|"20230716192912"|2|4|3|1|20|84|80719|36|3601|360102
JXFD46329373|"20230703225755"|4|3|2|1|20|57|78592|36|3601|360103
JXPOP32993523|"20230711025608"|1|4|2|2|19|84|98471|36|3601|360104
JXFD04112980|"20230726024202"|1|3|1||7|42|41957|36|3601|360105
JXEC48317158|"20230729230207"|5|3|3|1|19|92|71809|36|3604|360401
JXPOP80091886|"20230707235709"|1|2|3|2|5|89|89604|36|3604|360402
JXEC98622659|"20230704024310"|4|5|3|2|10|76|85097|36|3604|360403
JXFD34686553|"20230730051055"|2|3|2|2|10|36|26054|36|3604|360404
JXFD03038193|"20230728144707"|3|3|3|2|15|87|97142|36|3604|360405
JXFD73545189|"20230717010745"|5|1|1||15|12|62243|36|3671|367101
JXFD15083919|"20230730034324"|2|5|2|2|9|91|83996|36|3671|367102
JXPOP38993537|"20230703154359"|1|3|3|1|17|26|47723|36|3671|367103
JXEC91818830|"20230703195237"|2|1|3|1|20|67|95096|36|3671|367104
JXPOP22558381|"20230711221432"|4|3|1||17|91|85241|36|3671|367105
JXFD12550851|"20230730141238"|2|1|3|2|5|80|96746|36|3674|367401
JXPOP61274152|"20230710215902"|5|3|1||5|18|39827|36|3674|367402
JXEC74887289|"20230728151525"|2|3|1||4|68|80713|36|3674|367403
JXEC00967054|"20230728074009"|2|1|1||13|75|76308|36|3674|367404
JXPOP55840453|"20230715203218"|1|3|3|1|2|52|73596|36|3674|367405
JXEC22064264|"20230710225026"|5|5|2|1|15|39|26312|36|3675|367501
JXPOP10920806|"20230710203232"|2|5|2|2|16|12|60896|36|3675|367502
JXFD75178205|"20230703100246"|3|3|1||6|59|96365|36|3675|367503
JXEC18790433|"20230701065746"|3|3|1||1|78|81211|36|3675|367504
JXFD15686937|"20230723083145"|1|3|3|2|12|2|19420|36|3675|367505
JXPOP27641270|"20230731200547"|5|1|2|1|5|19|46283|36|3673|367301
JXEC16882017|"20230706135326"|4|2|2|1|14|95|89249|36|3673|367302
JXPOP09483516|"20230722211113"|4|1|1||12|76|90779|36|3673|367303
JXEC77857465|"20230724061917"|1|3|3|1|11|61|88336|36|3673|367304
JXFD30700327|"20230703045338"|2|3|1||5|11|63690|36|3673|367305
JXPOP83066492|"20230705061157"|3|4|3|2|13|91|75755|35|3571|357101
JXFD81570932|"20230719160729"|5|5|2|1|12|1|25477|35|3571|357102
JXPOP95377297|"20230726215640"|3|5|3|1|16|85|70342|35|3571|357103
JXEC21285904|"20230728165401"|3|1|1||7|99|94076|35|3571|357104
JXPOP49151145|"20230722201024"|4|1|2|1|6|71|74041|35|3571|357105
JXPOP35039133|"20230704101714"|2|5|2|1|8|20|52957|32|3271|327101
JXEC21612014|"20230711210059"|1|4|3|1|3|23|42432|32|3271|327102
JXEC94587180|"20230728084645"|3|1|3|1|10|90|77991|32|3271|327103
JXPOP90036083|"20230716214548"|2|5|3|1|1|10|25001|32|3271|327104
JXPOP15566606|"20230712032457"|5|4|2|1|15|38|61744|32|3271|327105
JXEC77973902|"20230701143039"|1|3|3|1|12|80|91055|32|3236|323601
JXFD71545034|"20230721140301"|5|2|2|2|10|97|87401|32|3236|323602
JXPOP54002338|"20230719085154"|2|4|2|2|17|62|94452|32|3236|323603
JXPOP91603335|"20230704171442"|3|2|1||8|12|51436|32|3236|323604
JXFD07607383|"20230722070730"|3|2|1||5|86|82180|32|3236|323605
JXEC99595096|"20230726142526"|2|4|1||19|81|76823|33|3371|337101
JXFD64291396|"20230709195454"|1|3|2|1|13|98|91873|33|3371|337102
JXEC42823787|"20230718050431"|4|3|3|1|12|6|20440|33|3371|337103
JXPOP32869003|"20230729072833"|5|4|2|2|2|42|45207|33|3371|337104
JXEC04420348|"20230705192617"|5|1|1||16|58|89835|33|3371|337105
JXFD76951624|"20230725122750"|4|2|1||15|95|82349|33|3372|337201
JXPOP37490431|"20230704224745"|1|2|2|2|8|46|48166|33|3372|337202
JXEC05953085|"20230722070805"|4|2|1||6|65|91632|33|3372|337203
JXPOP98638230|"20230714072259"|5|3|1||17|63|86421|33|3372|337204
JXPOP95763109|"20230720143350"|5|3|3|1|4|19|49685|33|3372|337205
JXFD43794762|"20230717210341"|1|1|1||5|35|60659|34|3471|347101
JXEC22690822|"20230715135247"|3|1|2|2|12|61|75753|34|3471|347102
JXFD06164418|"20230725084126"|3|3|2|2|8|53|80822|34|3471|347103
JXFD56894352|"20230704040955"|3|1|3|2|3|29|27257|34|3471|347104
JXEC86596939|"20230720005340"|1|4|1||15|79|99291|34|3471|347105
JXFD08296675|"20230709145809"|1|2|1||3|50|45194|34|3475|347501
JXPOP14456036|"20230716012737"|1|2|1||7|47|53255|34|3475|347502
JXFD80647949|"20230719161450"|3|5|3|2|1|70|86444|34|3475|347503
JXPOP98635771|"20230703033229"|4|3|3|1|14|30|29292|34|3475|347504
JXFD58795488|"20230701133506"|3|4|3|1|15|51|99457|34|3475|347505
JXPOP61206711|"20230731201510"|3|5|1||13|26|51597|36|3601|360101
JXPOP46865779|"20230731141024"|4|2|2|2|14|75|92396|36|3601|360102
JXEC02840909|"20230716162608"|2|1|1||14|38|41649|36|3601|360103
JXFD43820919|"20230730041607"|1|4|2|1|12|35|33733|36|3601|360104
JXPOP37035249|"20230725094109"|2|5|2|1|2|9|11163|36|3601|360105
JXEC22526244|"20230726072942"|3|4|3|1|12|90|72633|36|3604|360401
JXPOP49188559|"20230710061613"|4|1|2|2|13|33|56741|36|3604|360402
JXEC73044035|"20230718185836"|2|5|3|2|1|39|29626|36|3604|360403
JXFD61054179|"20230701102840"|5|5|2|1|9|54|84784|36|3604|360404
JXEC28697196|"20230720135856"|4|1|2|2|13|79|89418|36|3604|360405
JXPOP70090983|"20230722220531"|5|2|1||19|69|86359|36|3671|367101
JXFD89873641|"20230719101823"|5|4|1||13|99|75741|36|3671|367102
JXFD00865952|"20230730091616"|1|3|3|2|2|54|88874|36|3671|367103
JXPOP63016955|"20230729133843"|2|3|3|2|20|10|20631|36|3671|367104
JXFD74773276|"20230722052258"|2|4|3|2|16|83|96872|36|3671|367105
JXFD24798489|"20230726191348"|1|1|1||9|68|84627|36|3674|367401
JXEC11823023|"20230718070235"|5|1|2|1|3|17|47857|36|3674|367402
JXFD18035287|"20230709144802"|4|4|1||15|85|87110|36|3674|367403
JXEC83580062|"20230720125846"|4|2|3|2|15|68|74906|36|3674|367404
JXEC07456222|"20230727070256"|5|2|1||13|85|80565|36|3674|367405
JXFD08986996|"20230718082059"|4|4|1||12|4|12616|36|3675|367501
JXPOP22549565|"20230703145027"|2|3|2|2|1|56|80731|36|3675|367502
JXFD15404928|"20230710115256"|2|3|3|1|4|56|93937|36|3675|367503
JXPOP80574142|"20230717073150"|3|1|1||1|74|82872|36|3675|367504
JXEC29619828|"20230714185934"|2|4|2|2|14|100|85960|36|3675|367505
JXPOP74708120|"20230704131109"|5|5|2|2|14|49|45318|36|3673|367301
JXFD69464922|"20230726121938"|5|5|1||15|82|92045|36|3673|367302
JXFD33703766|"20230727055411"|3|3|2|2|19|52|77403|36|3673|367303
JXFD26410999|"20230717101051"|4|4|1||15|86|96629|36|3673|367304
JXPOP07503688|"20230705193114"|3|1|1||14|70|80921|36|3673|367305
JXEC20383847|"20230728083702"|5|1|2|1|14|69|93334|35|3571|357101
JXFD25044226|"20230717022230"|1|3|1||12|41|34371|35|3571|357102
JXEC73386343|"20230704191010"|3|5|2|1|9|74|90276|35|3571|357103
JXPOP09276676|"20230720111524"|5|3|1||16|79|94238|35|3571|357104
JXFD43885654|"20230717052544"|5|5|1||1|60|76709|35|3571|357105
JXPOP32902517|"20230702142146"|5|4|1||5|1|22662|32|3271|327101
JXFD25516498|"20230731192119"|4|5|3|1|8|14|40624|32|3271|327102
JXFD44503725|"20230712065444"|2|2|3|1|10|15|29770|32|3271|327103
JXPOP62147836|"20230710031032"|5|2|1||4|30|59258|32|3271|327104
JXFD24962204|"20230704072909"|4|4|2|2|4|91|99131|32|3271|327105
JXEC61065163|"20230715010424"|1|3|1||10|29|31274|32|3236|323601
JXPOP08366698|"20230711002233"|1|1|1||3|13|51028|32|3236|323602
JXEC28651410|"20230731060410"|5|2|1||12|91|76831|32|3236|323603
JXFD86805429|"20230710043051"|2|4|2|1|8|12|26245|32|3236|323604
JXPOP78660926|"20230705125922"|4|5|1||17|37|26602|32|3236|323605
JXEC57417764|"20230726010731"|4|1|2|1|15|14|32791|33|3371|337101
JXFD19743797|"20230703105914"|3|2|2|2|5|48|57709|33|3371|337102
JXEC54673794|"20230729155555"|4|1|2|2|6|38|44883|33|3371|337103
JXEC53629040|"20230709152352"|4|5|3|1|13|50|36776|33|3371|337104
JXPOP70421295|"20230709185235"|5|5|2|2|7|20|57808|33|3371|337105
JXPOP60590240|"20230713162652"|4|4|3|2|1|21|56235|33|3372|337201
JXFD74013479|"20230704005718"|1|1|2|2|5|50|44907|33|3372|337202
JXPOP30307822|"20230701005952"|4|2|2|2|8|33|30935|33|3372|337203
JXEC99732663|"20230727004811"|5|2|3|2|4|72|91107|33|3372|337204
JXEC28563218|"20230715134616"|2|4|3|1|4|34|29308|33|3372|337205
JXFD57242629|"20230717085817"|1|2|3|2|6|18|50611|34|3471|347101
JXFD65273446|"20230715133112"|5|2|3|2|15|85|92671|34|3471|347102
JXFD14348430|"20230731214355"|3|4|1||19|14|53294|34|3471|347103
JXFD72518859|"20230702014124"|1|4|3|2|4|90|89182|34|3471|347104
JXPOP00437834|"20230709074059"|2|2|2|1|12|62|76026|34|3471|347105
JXPOP96482265|"20230702155338"|2|3|2|2|6|22|37994|34|3475|347501
JXPOP47750193|"20230728031014"|4|2|1||2|56|86892|34|3475|347502
JXPOP37490117|"20230709125316"|2|4|1||7|83|86889|34|3475|347503
JXFD38951658|"20230723014514"|5|1|1||3|48|32775|34|3475|347504
JXFD20104508|"20230724231953"|3|2|1||20|47|44982|34|3475|347505
JXPOP79275882|"20230729213410"|3|4|3|1|16|19|34493|36|3601|360101
JXPOP54854202|"20230723171937"|4|2|2|2|7|10|20269|36|3601|360102
JXFD81417198|"20230726015241"|4|5|3|1|19|18|40825|36|3601|360103
JXFD79991245|"20230717095709"|5|5|1||11|3|20245|36|3601|360104
JXPOP75128235|"20230707041003"|2|2|2|1|11|2|18440|36|3601|360105
JXEC24654154|"20230712034143"|1|5|2|1|13|78|96604|36|3604|360401
JXPOP83456788|"20230729173459"|3|2|3|1|12|99|81773|36|3604|360402
JXFD71048208|"20230725071153"|2|4|3|2|6|33|57136|36|3604|360403
JXEC33583853|"20230727202357"|1|2|2|2|8|9|16056|36|3604|360404
JXPOP04496973|"20230705053957"|4|3|3|1|9|51|70445|36|3604|360405
JXPOP68250084|"20230713064439"|3|5|1||6|33|38535|36|3671|367101
JXFD52211486|"20230719193648"|2|4|3|1|4|50|47611|36|3671|367102
JXEC45080106|"20230726164057"|3|1|3|1|2|27|26015|36|3671|367103
JXEC76586142|"20230706102040"|4|2|2|1|3|57|80639|36|3671|367104
JXFD40523079|"20230701121117"|2|5|3|2|20|53|93757|36|3671|367105
JXPOP81549854|"20230714190152"|2|3|1||10|20|31105|36|3674|367401
JXEC90266898|"20230718123231"|1|3|1||4|65|81354|36|3674|367402
JXPOP93055300|"20230703014856"|3|5|3|2|11|89|71196|36|3674|367403
JXEC95711241|"20230718021136"|1|3|1||3|78|95059|36|3674|367404
JXPOP47445572|"20230712223048"|5|2|3|2|17|79|72376|36|3674|367405
JXPOP83589117|"20230726172357"|2|1|1||10|29|63807|36|3675|367501
JXFD52824623|"20230712003613"|5|3|3|2|11|94|72902|36|3675|367502
JXPOP44636949|"20230706210128"|1|1|3|2|3|71|88472|36|3675|367503
JXEC94193118|"20230724041824"|5|3|3|1|7|100|96317|36|3675|367504
JXPOP45730241|"20230727052512"|2|4|1||3|100|95714|36|3675|367505
JXPOP43715144|"20230729043112"|5|2|2|1|5|28|56606|36|3673|367301
JXPOP21844388|"20230714121034"|5|4|2|2|6|13|62785|36|3673|367302
JXEC19229876|"20230721132626"|3|4|1||4|27|53904|36|3673|367303
JXPOP29787490|"20230709182146"|4|5|3|1|4|91|87054|36|3673|367304
JXPOP05207902|"20230715190306"|1|5|2|2|18|38|60658|36|3673|367305
JXPOP97787471|"20230705093717"|3|5|1||16|22|53585|35|3571|357101
JXPOP98202592|"20230711203500"|3|4|1||11|85|96034|35|3571|357102
JXFD53849044|"20230710024133"|5|1|3|2|14|2|25413|35|3571|357103
JXFD45296292|"20230701075757"|2|3|3|2|15|28|57337|35|3571|357104
JXFD24889769|"20230725175403"|2|1|2|1|15|91|84445|35|3571|357105
JXEC38692651|"20230710042147"|2|2|3|2|5|72|72672|32|3271|327101
JXFD59310425|"20230728041622"|1|1|1||20|1|13787|32|3271|327102
JXEC64310102|"20230728185945"|5|4|1||7|46|26981|32|3271|327103
JXPOP28880337|"20230718003247"|3|5|1||6|57|72430|32|3271|327104
JXEC95031813|"20230703064531"|4|3|2|1|11|24|31146|32|3271|327105
JXFD49507398|"20230720230732"|1|3|1||3|39|60037|32|3236|323601
JXFD04460851|"20230727004036"|5|2|3|2|5|26|60768|32|3236|323602
JXEC35676143|"20230722192650"|3|4|2|1|11|71|92718|32|3236|323603
JXPOP24567777|"20230720074324"|5|1|2|2|20|44|26988|32|3236|323604
JXEC67162349|"20230722151453"|1|5|2|1|8|25|38710|32|3236|323605
JXEC47110455|"20230729164128"|1|4|3|1|15|42|28975|33|3371|337101
JXEC45289476|"20230716155959"|5|2|3|1|5|76|87809|33|3371|337102
JXEC77318774|"20230721034532"|4|2|2|2|12|47|33305|33|3371|337103
JXEC58179163|"20230701053553"|1|4|3|1|8|56|97097|33|3371|337104
JXEC27341980|"20230724020346"|4|3|1||15|8|17097|33|3371|337105
JXFD97597284|"20230717131416"|5|1|3|1|3|49|52247|33|3372|337201
JXFD48153693|"20230708103339"|1|4|1||17|85|81559|33|3372|337202
JXFD05200280|"20230717134722"|1|1|1||14|63|71212|33|3372|337203
JXFD40353593|"20230726031910"|2|5|1||11|31|44018|33|3372|337204
JXEC83750035|"20230714162136"|1|1|3|1|8|55|93188|33|3372|337205
JXPOP89455999|"20230715220230"|2|3|1||5|99|77993|34|3471|347101
JXFD69670528|"20230710192534"|1|5|2|1|14|44|34346|34|3471|347102
JXEC47403595|"20230717230049"|4|1|1||1|73|85666|34|3471|347103
JXPOP92248273|"20230702081823"|1|4|2|1|8|50|29318|34|3471|347104
JXFD73169636|"20230721191934"|3|1|1||20|46|41710|34|3471|347105
JXFD65176991|"20230717031741"|3|1|3|1|14|74|94745|34|3475|347501
JXEC67164872|"20230701213609"|1|1|2|2|12|92|73339|34|3475|347502
JXFD35450459|"20230727121111"|1|5|2|1|3|52|71299|34|3475|347503
JXEC12826604|"20230711070539"|2|5|3|2|1|16|59928|34|3475|347504
JXFD48167138|"20230725182301"|1|1|3|2|17|10|24061|34|3475|347505
JXFD18638330|"20230709021737"|5|2|1||17|40|47689|36|3601|360101
JXEC44681037|"20230701192856"|1|5|1||9|43|49297|36|3601|360102
JXEC19470053|"20230730023818"|4|4|2|2|9|89|74815|36|3601|360103
JXEC68343814|"20230712101609"|2|5|2|1|15|49|62998|36|3601|360104
JXPOP99418252|"20230728022447"|5|2|1||5|4|10480|36|3601|360105
JXFD09981729|"20230727005124"|2|3|3|1|6|74|87506|36|3604|360401
JXPOP87774835|"20230721162944"|3|5|3|1|9|51|71278|36|3604|360402
JXEC64263770|"20230727003708"|3|5|3|1|17|23|27993|36|3604|360403
JXEC56797490|"20230723003350"|2|3|1||4|15|33748|36|3604|360404
JXEC54409274|"20230707063759"|4|2|1||19|9|19082|36|3604|360405
JXFD70254856|"20230712200451"|4|4|2|2|20|96|84208|36|3671|367101
JXEC96553058|"20230729171406"|2|2|1||13|95|89465|36|3671|367102
JXPOP46331871|"20230715064804"|1|4|3|1|12|76|88401|36|3671|367103
JXFD68919487|"20230722210911"|3|4|3|1|16|35|39868|36|3671|367104
JXEC42158783|"20230721023652"|5|2|3|2|5|72|70339|36|3671|367105
JXEC73489143|"20230725234038"|2|3|2|1|10|61|99835|36|3674|367401
JXPOP82019396|"20230722104023"|2|2|1||18|72|86605|36|3674|367402
JXPOP36653183|"20230708092935"|2|4|2|1|4|75|74708|36|3674|367403
JXFD32458765|"20230706002317"|2|5|1||15|7|10801|36|3674|367404
JXPOP94810307|"20230705204045"|3|4|2|2|12|82|77243|36|3674|367405
JXFD33653998|"20230723014716"|1|2|2|2|14|61|90576|36|3675|367501
JXPOP57093362|"20230731063517"|5|4|2|1|14|66|85271|36|3675|367502
JXFD59852629|"20230718183310"|3|4|2|1|5|9|25695|36|3675|367503
JXFD86327669|"20230714234743"|4|4|3|2|14|1|20822|36|3675|367504
JXEC10196571|"20230726110222"|5|2|2|1|12|14|50165|36|3675|367505
JXFD94307712|"20230713172550"|1|4|2|2|14|56|72620|36|3673|367301
JXPOP01133795|"20230710210154"|4|4|3|2|18|29|65310|36|3673|367302
JXPOP67233026|"20230727014528"|5|2|1||17|56|94466|36|3673|367303
JXPOP87275457|"20230712045311"|2|5|2|2|5|55|82168|36|3673|367304
JXEC78584457|"20230728230158"|3|5|3|2|5|43|63320|36|3673|367305
JXPOP81364567|"20230710024730"|2|4|3|1|5|73|96762|35|3571|357101
JXPOP39046270|"20230713151004"|3|3|1||14|66|88440|35|3571|357102
JXFD23501401|"20230706145525"|2|4|1||9|51|80099|35|3571|357103
JXEC66924559|"20230723090958"|3|4|2|2|3|79|84034|35|3571|357104
JXPOP61347861|"20230725121718"|4|2|3|1|20|69|85985|35|3571|357105
JXPOP76285093|"20230707042927"|5|5|1||14|6|24407|32|3271|327101
JXPOP82782913|"20230716144510"|4|1|3|1|7|32|54445|32|3271|327102
JXEC85184882|"20230712222648"|2|1|2|2|20|90|86369|32|3271|327103
JXFD28159223|"20230704152955"|1|2|1||1|5|14765|32|3271|327104
JXFD22340863|"20230711214948"|2|2|1||16|72|97089|32|3271|327105
JXFD58732531|"20230723140517"|1|2|2|1|6|53|90360|32|3236|323601
JXPOP60501282|"20230726071243"|4|5|1||4|19|37148|32|3236|323602
JXFD20920618|"20230705000901"|4|5|2|1|8|87|96606|32|3236|323603
JXEC81699905|"20230721040758"|4|2|1||17|25|36924|32|3236|323604
JXEC43493234|"20230730053950"|4|2|3|1|12|29|65377|32|3236|323605
JXFD39851973|"20230729030338"|1|1|2|1|13|40|32100|33|3371|337101
JXEC31004217|"20230711004449"|3|5|3|1|16|1|16973|33|3371|337102
JXEC39996250|"20230708030153"|2|5|3|2|8|64|92415|33|3371|337103
JXFD27045355|"20230708220914"|2|1|1||12|25|65825|33|3371|337104
JXPOP11092547|"20230717114100"|1|1|2|2|3|63|76911|33|3371|337105
JXFD23675151|"20230718141459"|5|3|1||4|55|79869|33|3372|337201
JXEC99878568|"20230708171811"|1|1|2|1|16|11|63568|33|3372|337202
JXEC90964283|"20230722235050"|4|2|3|1|18|52|73541|33|3372|337203
JXPOP38064306|"20230723234607"|4|2|3|2|6|14|53292|33|3372|337204
JXFD91266868|"20230720154557"|4|5|1||9|17|42864|33|3372|337205
JXFD35456579|"20230725230230"|3|1|1||7|12|34663|34|3471|347101
JXPOP07951686|"20230728220622"|4|2|1||17|21|31339|34|3471|347102
JXFD62466454|"20230705053736"|4|2|1||14|12|26490|34|3471|347103
JXPOP29559485|"20230720015334"|4|1|1||11|74|95392|34|3471|347104
JXEC98141463|"20230713140447"|2|1|2|1|18|41|30122|34|3471|347105
JXPOP10068062|"20230717123814"|5|4|1||7|77|89159|34|3475|347501
JXPOP98211507|"20230730234309"|1|2|3|1|17|57|76177|34|3475|347502
JXEC93821147|"20230710013310"|2|1|3|1|5|90|95423|34|3475|347503
JXEC20202451|"20230713232747"|3|2|3|1|14|45|62597|34|3475|347504
JXEC39280831|"20230708035504"|1|5|2|1|17|50|58533|34|3475|347505
JXEC91860596|"20230704213625"|5|4|2|2|14|46|42181|36|3601|360101
JXEC54941087|"20230726061532"|1|5|2|1|3|74|83470|36|3601|360102
JXPOP42923857|"20230716134356"|5|5|2|2|16|41|43195|36|3601|360103
